,t,x,y,z
,0,0,0,0
,,,,
8978,89.78,6.13994271929,4.36183799031,26.586368898
8979,89.79,5.97073382802,4.40480022134,26.1510435514
8980,89.8,5.82171567117,4.47081729884,25.722421647
8981,89.81,5.69316080481,4.55826456432,25.3023939359
8982,89.82,5.58516124133,4.66572188773,24.8926601615
8983,89.83,5.49766509384,4.79198120299,24.4947727268
8984,89.84,5.43051045058,4.93604432454,24.1101766058
8985,89.85,5.38345581786,5.09711311209,23.7402453064
8986,89.86,5.35620673012,5.2745737247,23.386313003
8987,89.87,5.34843832924,5.46797635628,23.0497031424
8988,89.88,5.35981386674,5.67701149891,22.731753901
8989,89.89,5.38999918641,5.9014834585,22.4338408754
8990,89.9,5.43867330845,6.1412815583,22.1573973259
8991,89.91,5.50553526603,6.39634921482,21.9039321943
8992,89.92,5.59030734843,6.66665086101,21.6750459782
8993,89.93,5.69273488795,6.95213652355,21.4724443864
8994,89.94,5.8125826961,7.252703736,21.2979495102
8995,89.95,5.94962821456,7.5681563917,21.1535080386
8996,89.96,6.10365140221,7.89816011279,21.0411958112
8997,89.97,6.27442133738,8.2421937447,20.9632177455
8998,89.98,6.46167947909,8.59949668981,20.9219018951
8999,89.99,6.66511950941,8.96901198518,20.9196860994
9000,90.0,6.88436367713,9.34932532731,20.9590953784
9001,90.01,7.11893559017,9.73860067344,21.042707936
9002,90.02,7.36822946866,10.1345136277,21.17310738
9003,90.03,7.63147598494,10.5341845727,21.3528186029
9004,90.04,7.90770499092,10.9341144474,21.5842247437
9005,90.05,8.19570568082,11.3301272025,21.8694628523
9006,90.06,8.49398506888,11.7173242571,22.2102964088
9007,90.07,8.80072608438,12.0900576782,22.6079638118
9008,90.08,9.11374710217,12.4419301949,23.0630034741
9009,90.09,9.43046532573,12.7658313531,23.5750583564
9010,90.1,9.74786709531,13.0540198692,24.142665697
9011,90.11,10.0624888587,13.2982621992,24.7630413453
9012,90.12,10.3704131392,13.4900361074,25.4318723448
9013,90.13,10.6672842599,13.6208051639,26.1431358937
9014,90.14,10.9483486929,13.6823652558,26.8889669938
9015,90.15,11.2085245441,13.6672571637,27.6596001529
9016,90.16,11.442503687,13.5692301654,28.4434114214
9017,90.17,11.6448882955,13.3837310903,29.2270846924
9018,90.18,11.810360923,13.1083824813,29.995919607
9019,90.19,11.9338838995,12.7434043361,30.7342870427
9020,90.2,12.0109198881,12.2919285738,31.4262223234
9021,90.21,12.0376613771,11.7601562165,32.0561273581
9022,90.22,12.0112532923,11.1573160513,32.6095335325
